0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 11702
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:13 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 11702
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/discover/search/objects?configuration=default&sort=score%2CDESC&page=0&size=10&dsoType=item&scope=1415fe2f-7665-4eca-969c-9181207a8e69&embed=thumbnail&embed=item/thumbnail HTTP/1.1" 200 84671
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "OPTIONS /server/api/discover/facets/author?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=1415fe2f-7665-4eca-969c-9181207a8e69 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "OPTIONS /server/api/discover/facets/contenttype?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=1415fe2f-7665-4eca-969c-9181207a8e69 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "OPTIONS /server/api/discover/facets/publisher?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=1415fe2f-7665-4eca-969c-9181207a8e69 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "OPTIONS /server/api/discover/facets/keyword?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=1415fe2f-7665-4eca-969c-9181207a8e69 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "OPTIONS /server/api/discover/facets/has_content_in_original_bundle?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=1415fe2f-7665-4eca-969c-9181207a8e69 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "OPTIONS /server/api/core/items/13c8796c-f3e7-4e32-beb1-accbc7572669/bundles?size=9999 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 11702
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/discover/facets/has_content_in_original_bundle?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=1415fe2f-7665-4eca-969c-9181207a8e69 HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/items/13c8796c-f3e7-4e32-beb1-accbc7572669/bundles?size=9999 HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/discover/facets/contenttype?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=1415fe2f-7665-4eca-969c-9181207a8e69 HTTP/1.1" 200 1589
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "OPTIONS /server/api/core/bundles/55ea1640-9eaf-4297-89ed-cd98b3a3fb70/bitstreams?page=0&size=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/discover/search/objects?configuration=default&sort=score%2CDESC&page=0&size=10&dsoType=item&scope=1415fe2f-7665-4eca-969c-9181207a8e69&embed=thumbnail&embed=item/thumbnail HTTP/1.1" 200 84671
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/discover/facets/contenttype?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=1415fe2f-7665-4eca-969c-9181207a8e69 HTTP/1.1" 200 1589
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/discover/facets/author?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=1415fe2f-7665-4eca-969c-9181207a8e69 HTTP/1.1" 200 2449
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/discover/search/objects?page=0&size=10&dsoType=COLLECTION HTTP/1.1" 200 11702
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/items/13c8796c-f3e7-4e32-beb1-accbc7572669/bundles?size=9999 HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/discover/facets/has_content_in_original_bundle?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=1415fe2f-7665-4eca-969c-9181207a8e69 HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/bundles/55ea1640-9eaf-4297-89ed-cd98b3a3fb70/bitstreams?page=0&size=5 HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/discover/facets/author?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=1415fe2f-7665-4eca-969c-9181207a8e69 HTTP/1.1" 200 2449
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/bundles/55ea1640-9eaf-4297-89ed-cd98b3a3fb70/bitstreams?page=0&size=5 HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/bundles/55ea1640-9eaf-4297-89ed-cd98b3a3fb70/bitstreams?page=0&size=5 HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "OPTIONS /server/api/core/items/1d8b771a-283a-4f99-a984-3af20a5eda8d/bundles?size=9999 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/discover/facets/keyword?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=1415fe2f-7665-4eca-969c-9181207a8e69 HTTP/1.1" 200 2547
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/items/1d8b771a-283a-4f99-a984-3af20a5eda8d/bundles?size=9999 HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "OPTIONS /server/api/core/bundles/5ce1cc05-00b9-476b-b408-bf3198eafea2/bitstreams?page=0&size=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/bundles/55ea1640-9eaf-4297-89ed-cd98b3a3fb70/bitstreams?page=0&size=5 HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/discover/facets/keyword?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=1415fe2f-7665-4eca-969c-9181207a8e69 HTTP/1.1" 200 2547
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/discover/facets/publisher?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=1415fe2f-7665-4eca-969c-9181207a8e69 HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/items/1d8b771a-283a-4f99-a984-3af20a5eda8d/bundles?size=9999 HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/bundles/5ce1cc05-00b9-476b-b408-bf3198eafea2/bitstreams?page=0&size=5 HTTP/1.1" 200 3074
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/discover/facets/publisher?configuration=default&sort=score%2CDESC&page=0&size=5&dsoType=item&scope=1415fe2f-7665-4eca-969c-9181207a8e69 HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/bundles/5ce1cc05-00b9-476b-b408-bf3198eafea2/bitstreams?page=0&size=5 HTTP/1.1" 200 3074
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/bundles/5ce1cc05-00b9-476b-b408-bf3198eafea2/bitstreams?page=0&size=5 HTTP/1.1" 200 3074
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "OPTIONS /server/api/core/items/259be2c2-a682-48bf-8f28-5cfef2f1c12b/bundles?size=9999 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/items/259be2c2-a682-48bf-8f28-5cfef2f1c12b/bundles?size=9999 HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/bundles/5ce1cc05-00b9-476b-b408-bf3198eafea2/bitstreams?page=0&size=5 HTTP/1.1" 200 3074
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "OPTIONS /server/api/core/bundles/30c23426-eb48-4fb9-922a-ab95793e293b/bitstreams?page=0&size=5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/items/259be2c2-a682-48bf-8f28-5cfef2f1c12b/bundles?size=9999 HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/bundles/30c23426-eb48-4fb9-922a-ab95793e293b/bitstreams?page=0&size=5 HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/bundles/30c23426-eb48-4fb9-922a-ab95793e293b/bitstreams?page=0&size=5 HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/bundles/30c23426-eb48-4fb9-922a-ab95793e293b/bitstreams?page=0&size=5 HTTP/1.1" 200 3076
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "OPTIONS /server/api/core/items/29fb7b83-a129-4206-a480-461b228c2826/bundles?size=9999 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [22/Sep/2025:15:31:14 +0530] "GET /server/api/core/items/29fb7b83-a129-4206-a480-461b228c2826/bundles?size=9999 HTTP/1.1" 200 1275
